norm_group	norm	count
ⲁⲡⲟⲧⲁⲥⲥⲉ	ⲁⲡⲟⲧⲁⲥⲥⲉ	3
ⲧⲉⲛⲟⲩ	ⲧⲉⲛⲟⲩ	3
ϩⲓϫⲛ	ϩⲓϫⲛ	3
ⲙⲁⲗⲓⲥⲧⲁ	ⲙⲁⲗⲓⲥⲧⲁ	3
ϣⲏⲣⲉ	ϣⲏⲣⲉ	3
ϩⲟⲟⲩ	ϩⲟⲟⲩ	3
ϭⲱⲛⲧ	ϭⲱⲛⲧ	3
ϣⲟⲩϣⲟⲩ	ϣⲟⲩϣⲟⲩ	3
ⲁⲡⲟⲗⲗⲱ	ⲁⲡⲟⲗⲗⲱ	3
ϩⲓⲃⲟⲗ	ϩⲓⲃⲟⲗ	2
ϩⲟⲥⲟⲛ	ϩⲟⲥⲟⲛ	2
ϩⲧⲟⲟⲩ	ϩⲧⲟⲟⲩ	2
ϫⲉⲕⲁⲥ	ϫⲉⲕⲁⲥ	2
ⲁⲗⲗⲁ	ⲁⲗⲗⲁ	2
ⲁⲙⲟⲩ	ⲁⲙⲟⲩ	2
ⲁⲛⲟⲕ	ⲁⲛⲟⲕ	2
ⲁⲛⲟⲛ	ⲁⲛⲟⲛ	2
ⲁⲩⲏⲧ	ⲁⲩⲏⲧ	2
ⲉⲓⲣⲉ	ⲉⲓⲣⲉ	2
ⲉⲓⲧⲁ	ⲉⲓⲧⲁ	2
ⲉⲓⲧⲉ	ⲉⲓⲧⲉ	2
ⲕⲉⲩⲁ	ⲕⲉⲩⲁ	2
ⲗⲁⲁⲩ	ⲗⲁⲁⲩ	2
ⲡⲱϩⲧ	ⲡⲱϩⲧ	2
ⲙⲁⲣⲉ	ⲙⲁⲣⲉ	2
ⲙⲕⲁϩ	ⲙⲕⲁϩ	2
ⲛⲁⲙⲉ	ⲛⲁⲙⲉ	2
ⲛⲧⲟϥ	ⲛⲧⲟϥ	2
ⲛⲟⲃⲉ	ⲛⲟⲃⲉ	2
ⲛⲧⲟⲥ	ⲛⲧⲟⲥ	2
ⲟⲉⲓⲕ	ⲟⲉⲓⲕ	2
ⲟⲩⲏⲣ	ⲟⲩⲏⲣ	2
ⲟⲩⲏⲩ	ⲟⲩⲏⲩ	2
ⲟⲩⲟⲓ	ⲟⲩⲟⲓ	2
ⲟⲩⲧⲉ	ⲟⲩⲧⲉ	2
ⲟⲩⲱⲧ	ⲟⲩⲱⲧ	2
ⲡⲗⲏⲛ	ⲡⲗⲏⲛ	2
ⲡⲱⲣϫ	ⲡⲱⲣϫ	2
ⲥⲙⲟⲩ	ⲥⲙⲟⲩ	2
ⲥⲱⲧⲙ	ⲥⲱⲧⲙ	2
ⲧⲉⲧⲛ	ⲧⲉⲧⲛ	2
ⲓⲁⲕⲱⲃⲟⲥ	ⲓⲁⲕⲱⲃⲟⲥ	2
ⲡⲟⲛⲏⲣⲟⲥ	ⲡⲟⲛⲏⲣⲟⲥ	2
ⲉϣⲱⲡⲉ	ⲉϣⲱⲡⲉ	2
ⲉϩⲣⲁⲓ	ⲉϩⲣⲁⲓ	2
ⲙⲛⲧⲁⲅⲁⲑⲟⲥ	ⲙⲛⲧⲁⲅⲁⲑⲟⲥ	2
 	 	2
-	-	2
:	:	2
ϯ	ϯ	2
ⲅ	ⲅ	2
ⲉ	ⲉ	2
ⲛ	ⲛ	2
ⲥ	ⲥ	2
⳾	⳾	2
·ⲻ	·ⲻ	2
ϥⲓ	ϥⲓ	2
ϩⲱ	ϩⲱ	2
ϫⲓ	ϫⲓ	2
ϫⲱ	ϫⲱ	2
ϭⲉ	ϭⲉ	2
ϭⲱ	ϭⲱ	2
ⲁϣ	ⲁϣ	2
ⲉⲓ	ⲉⲓ	2
ⲗⲟ	ⲗⲟ	2
ⲛⲏ	ⲛⲏ	2
ⲛⲧ	ⲛⲧ	2
ⲟⲩ	ⲟⲩ	2
ⲣⲱ	ⲣⲱ	2
ⲁⲑⲉⲧⲓ	ⲁⲑⲉⲧⲓ	2
ϩⲁϩ	ϩⲁϩ	2
ϣⲏⲙ	ϣⲏⲙ	2
ϩⲱⲥ	ϩⲱⲥ	2
ϩⲱⲱ	ϩⲱⲱ	2
ϫⲟⲟ	ϫⲟⲟ	2
ϫⲡⲟ	ϫⲡⲟ	2
ⲁⲙⲱⲛⲁ	ⲁⲙⲱⲛⲁ	2
[..]	[..]	2
ⲁⲃⲣⲁϩⲁⲙ	ⲁⲃⲣⲁϩⲁⲙ	2
ⲅⲁⲣ	ⲅⲁⲣ	2
ⲉⲣⲉ	ⲉⲣⲉ	2
ⲛⲟϭ	ⲛⲟϭ	2
ⲕⲁⲓ	ⲕⲁⲓ	2
ⲕⲁⲛ	ⲕⲁⲛ	2
ⲙⲉⲛ	ⲙⲉⲛ	2
ⲙⲟⲩ	ⲙⲟⲩ	2
ⲛⲁⲓ	ⲛⲁⲓ	2
ⲛⲁⲩ	ⲛⲁⲩ	2
ⲛⲓⲙ	ⲛⲓⲙ	2
ⲛⲛⲉ	ⲛⲛⲉ	2
ⲛⲥⲱ	ⲛⲥⲱ	2
ⲛⲧⲟ	ⲛⲧⲟ	2
ⲟⲩⲁ	ⲟⲩⲁ	2
ⲡⲁⲓ	ⲡⲁⲓ	2
ⲧⲁⲓ	ⲧⲁⲓ	2
ⲧⲉⲛ	ⲧⲉⲛ	2
ⲧⲱⲛ	ⲧⲱⲛ	2
ⲉⲡⲉⲓⲇⲏ	ⲉⲡⲉⲓⲇⲏ	2
ⲉⲡⲉⲥⲏⲧ	ⲉⲡⲉⲥⲏⲧ	2
ⲓⲥⲁⲁⲕ	ⲓⲥⲁⲁⲕ	2
ⲕⲁⲗⲱⲥ	ⲕⲁⲗⲱⲥ	2
ⲉⲧⲃⲏⲏⲧ	ⲉⲧⲃⲏⲏⲧ	2
ⲙⲉⲉⲩⲉ	ⲙⲉⲉⲩⲉ	2
ⲙⲉⲣⲟⲥ	ⲙⲉⲣⲟⲥ	2
ⲙⲙⲁⲧⲉ	ⲙⲙⲁⲧⲉ	2
ⲙⲛⲛⲥⲁ	ⲙⲛⲛⲥⲁ	2
ⲙⲟⲟⲩⲧ	ⲙⲟⲟⲩⲧ	2
ⲛⲁⲛⲟⲩ	ⲛⲁⲛⲟⲩ	2
ⲛⲧⲟⲟⲩ	ⲛⲧⲟⲟⲩ	2
ⲁⲅⲁⲑⲟⲥ	ⲁⲅⲁⲑⲟⲥ	2
ⲃⲏⲥⲁⲣⲓⲟⲛ	ⲃⲏⲥⲁⲣⲓⲟⲛ	2
ⲟⲩⲟⲉⲓ	ⲟⲩⲟⲉⲓ	2
ⲉⲓⲇⲱⲗⲟⲛ	ⲉⲓⲇⲱⲗⲟⲛ	2
ⲣⲕⲁⲕⲉ	ⲣⲕⲁⲕⲉ	2
ⲣⲟⲉⲓⲥ	ⲣⲟⲉⲓⲥ	2
ⲥⲁⲣⲣⲁ	ⲥⲁⲣⲣⲁ	2
ⲥⲟⲟⲩⲛ	ⲥⲟⲟⲩⲛ	2
ⲥⲟⲫⲟⲥ	ⲥⲟⲫⲟⲥ	2
ⲧⲉⲛⲟⲩ	ⲧⲉⲛⲟⲩ	2
ⲧⲱⲱⲃⲉ	ⲧⲱⲱⲃⲉ	2
ϣⲁⲣⲉ	ϣⲁⲣⲉ	2
