ⲉϫⲛⲛⲣⲉϥϩⲱⲧⲃ	ⲉϫⲛ|ⲛ|ⲣⲉϥϩⲱⲧⲃ
ⲛⲙⲡϣⲁ	ⲛ|ⲙⲡϣⲁ
ⲛⲧⲉⲣⲉⲡⲥⲁⲃⲃⲁⲧⲟⲛ	ⲛⲧⲉⲣⲉ|ⲡ|ⲥⲁⲃⲃⲁⲧⲟⲛ
υἱός	υἱός
ⲉⲧⲃⲉⲧⲙⲛⲧⲉⲣⲟ	ⲉⲧⲃⲉ|ⲧ|ⲙⲛⲧⲉⲣⲟ
ⲙ[ ]	ⲙ[ ]
ⲛⲧⲉⲙⲉⲣⲉⲡⲡⲉⲑⲟⲟⲩ	ⲛ|ⲧⲉ|ⲙⲉⲣⲉ|ⲡ|ⲡ|ⲉⲧ|ϩⲟⲟⲩ
ⲡⲣⲡⲉ	ⲡ|ⲣⲡⲉ
ⲛⲧⲡⲁⲣⲃⲁⲥⲓⲥ	ⲛ|ⲧ|ⲡⲁⲣⲃⲁⲥⲓⲥ
ⲛⲧⲉϣⲧⲏⲛ	ⲛ|ⲧⲉ|ϣⲧⲏⲛ
ⲛϭⲓϩⲏⲗⲉⲓⲁⲥ	ⲛϭⲓ|ϩⲏⲗⲉⲓⲁⲥ
ϩⲟⲧⲁⲛ	ϩⲟⲧⲁⲛ
ϯⲛⲁⲗⲟ	ϯ|ⲛⲁ|ⲗⲟ
ⲡϩⲟ	ⲡ|ϩⲟ
ⲛⲟⲩⲟⲉⲓⲕ	ⲛ|ⲟⲩ|ⲟⲉⲓⲕ
ϥⲛⲁⲧⲟⲩϫⲟⲥ	ϥ|ⲛⲁ|ⲧⲟⲩϫⲟ|ⲥ
ⲟⲩⲙⲛⲧⲛⲟⲩⲧⲉ	ⲟⲩ|ⲙⲛⲧⲛⲟⲩⲧⲉ
ⲓⲥⲁⲁⲕ[...]ϥ̣	ⲓⲥⲁⲁⲕ|[...]ϥ̣
ⲡⲕⲁⲓⲣⲟⲥ	ⲡ|ⲕⲁⲓⲣⲟⲥ
ⲛⲧⲉⲧⲛⲧⲁϣⲉⲟⲉⲓϣ	ⲛ|ⲧⲉⲧⲛ|ⲧⲁϣⲉⲟⲉⲓϣ
ⲛⲟⲩⲟⲉⲓⲉ	ⲛ|ⲟⲩ|ⲟⲉⲓⲉ
ϩⲙⲡⲉϥⲡⲛⲉⲩⲙⲁ	ϩⲙ|ⲡⲉϥ|ⲡⲛⲉⲩⲙⲁ
ⲧⲙⲛⲧⲁⲧⲥⲃⲃⲉ	ⲧ|ⲙⲛⲧⲁⲧⲥⲃⲃⲉ
ⲙⲡⲣⲣⲛⲟⲉⲓⲕ	ⲙⲡⲣ|ⲣⲛⲟⲉⲓⲕ
ϩⲛⲟⲩⲱⲣϫ	ϩⲛ|ⲟⲩ|ⲱⲣϫ
ⲉⲛⲉⲥⲛϩⲏⲧϥ	ⲉ|ⲛⲉ|ⲥ|ⲛϩⲏⲧ|ϥ
ⲙⲡⲙⲉⲉⲩⲉ	ⲙ|ⲡ|ⲙⲉⲉⲩⲉ
ⲙⲡⲁⲥⲭⲁ	ⲙ|ⲡⲁⲥⲭⲁ
ⲛⲉϥⲧⲁϣⲉⲟⲉⲓϣ	ⲛⲉ|ϥ|ⲧⲁϣⲉⲟⲉⲓϣ
ⲡⲉⲩⲧⲱϩ	ⲡⲉⲩ|ⲧⲱϩ
ⲙⲛⲛϩⲗⲗⲟ	ⲙⲛ|ⲛ|ϩⲗⲗⲟ
ⲙⲡⲟⲩⲉ	ⲙ|ⲡ|ⲟⲩⲉ
ⲙⲡϣⲟⲙⲛⲧ	ⲙ|ⲡ|ϣⲟⲙⲛⲧ
ⲁⲩⲕⲏⲣⲩⲥⲥⲉ	ⲁ|ⲩ|ⲕⲏⲣⲩⲥⲥⲉ
ⲧⲁⲁϥ	ⲧⲁⲁ|ϥ
ⲉϯⲛⲁⲕ	ⲉ|ϯ|ⲛⲁ|ⲕ
ⲙⲛⲟⲩⲙⲛⲧⲃⲁⲃⲉ	ⲙⲛ|ⲟⲩ|ⲙⲛⲧⲃⲁⲃⲉ
ⲉⲛⲁϣⲉⲥⲟⲩⲛⲧⲥ	ⲉ|ⲛⲁϣⲉ|ⲥⲟⲩⲛⲧ|ⲥ
ϩⲓⲧⲛⲛⲉⲡⲓⲥⲧⲟⲗⲏ	ϩⲓⲧⲛ|ⲛ|ⲉⲡⲓⲥⲧⲟⲗⲏ
ⲉⲩⲁⲡⲉⲭⲉ	ⲉ|ⲩ|ⲁⲡⲉⲭⲉ
ϩⲓϫⲛⲛⲉϥⲃⲁⲗ	ϩⲓϫⲛ|ⲛⲉϥ|ⲃⲁⲗ
ⲥⲟⲩⲱⲛⲟⲩ	ⲥⲟⲩⲱⲛ|ⲟⲩ
ⲉⲛⲟϫⲟⲩ	ⲉ|ⲛⲟϫ|ⲟⲩ
ⲉⲧⲙⲧⲣⲉⲗⲁⲁⲩ	ⲉ|ⲧⲙ|ⲧⲣⲉ|ⲗⲁⲁⲩ
ⲙⲛϩⲉⲛⲕⲉⲥⲡⲟⲧⲟⲩ	ⲙⲛ|ϩⲉⲛ|ⲕⲉ|ⲥⲡⲟⲧⲟⲩ
ⲟⲩⲉϣ	ⲟⲩⲉϣ
ⲛⲧⲉⲣⲟⲩⲣⲛⲟⲃⲉ	ⲛⲧⲉⲣ|ⲟⲩ|ⲣ|ⲛⲟⲃⲉ
ⲡⲉⲛⲧⲱϣ	ⲡⲉⲛ|ⲧⲱϣ
ⲙⲡⲉϩⲣⲟⲩⲃⲃⲁⲉⲓ	ⲙ|ⲡⲉ|ϩⲣⲟⲩⲃⲃⲁⲉⲓ
ϫⲉϣⲏⲛ	ϫⲉ|ϣⲏⲛ
ⲉⲧⲛⲁϣⲱⲡⲉ	ⲉⲧ|ⲛⲁ|ϣⲱⲡⲉ
ⲧⲁⲕⲟϥ	ⲧⲁⲕⲟ|ϥ
ⲧⲁⲙⲁⲁⲩ	ⲧⲁ|ⲙⲁⲁⲩ
ⲁⲥⲣϩⲟⲧⲉ	ⲁ|ⲥ|ⲣϩⲟⲧⲉ
ⲛϥⲕⲁⲛⲥⲟⲉⲓ	ⲛ|ϥ|ⲕⲁ|ⲛ|ⲥⲟⲉⲓ
ϩⲁⲑⲏ	ϩⲁ|ⲧ|ϩⲏ
ⲉⲛⲉⲣⲉϭⲱϣⲧ	ⲉ|ⲛⲉⲣⲉ|ϭⲱϣⲧ
ⲡⲁⲣⲁⲧⲉⲩⲁⲥⲟⲩ	ⲡⲁⲣⲁ|ⲧⲉⲩ|ⲁⲥⲟⲩ
ⲕⲁⲧⲁⲡⲉⲛⲉⲓⲛⲉ	ⲕⲁⲧⲁ|ⲡⲉⲛ|ⲉⲓⲛⲉ
ⲉⲡⲕⲟⲥⲙⲟⲥ	ⲉ|ⲡ|ⲕⲟⲥⲙⲟⲥ
ⲡⲉϥⲙⲁⲑⲏⲧⲏⲥ	ⲡⲉϥ|ⲙⲁⲑⲏⲧⲏⲥ
ϥⲛⲁⲧⲛⲛⲟⲟⲩϥ	ϥ|ⲛⲁ|ⲧⲛⲛⲟⲟⲩ|ϥ
ⲁⲩⲛⲟϫϥ	ⲁ|ⲩ|ⲛⲟϫ|ϥ
ⲙⲛⲛϣⲁϫⲉ	ⲙⲛ|ⲛ|ϣⲁϫⲉ
ⲛϩⲏⲧ	ⲛ|ϩⲏⲧ
ⲕⲥⲱⲧ	ⲕ|ⲥⲱⲧ
ⲛϩⲉ	ⲛ|ϩⲉ
ⲛϥⲣϩⲟⲧⲉ	ⲛ|ϥ|ⲣϩⲟⲧⲉ
ϩⲛⲥⲓⲟⲟⲩⲛⲉ	ϩⲛ|ⲥⲓⲟⲟⲩⲛⲉ
ⲓⲥⲁⲁⲕ	ⲓⲥⲁⲁⲕ
ⲕⲁⲧⲁⲧⲁⲝⲓⲥ	ⲕⲁⲧⲁ|ⲧⲁⲝⲓⲥ
ⲛϩⲟ	ⲛ|ϩⲟ
ⲛⲛϣⲟⲣⲡ	ⲛ|ⲛ|ϣⲟⲣⲡ
ⲉⲣⲱⲙⲉ	ⲉ|ⲣⲱⲙⲉ
ⲛⲁⲙⲉⲡⲉ	ⲛⲁⲙⲉ|ⲡⲉ
ⲟⲩϣⲗⲟϥ	ⲟⲩ|ϣⲗⲟϥ
ⲛⲉⲓⲱⲧ	ⲛ|ⲉⲓⲱⲧ
ⲉⲧⲱⲛ	ⲉ|ⲧⲱⲛ
ⲡ̣ⲛⲟⲩⲧⲉ	ⲡ|ⲛⲟⲩⲧⲉ
ⲉⲙⲙⲟⲉⲓⲧ	ⲉ|ⲙ|ⲙⲟⲉⲓⲧ
ⲛⲧⲣⲉⲡⲣⲱⲙⲉ	ⲛ|ⲧⲣⲉ|ⲡ|ⲣⲱⲙⲉ
ⲉⲧⲃⲉⲓⲁⲕⲱⲃⲟⲥ	ⲉⲧⲃⲉ|ⲓⲁⲕⲱⲃⲟⲥ
