#ⲱ	V	-
ϩⲁⲗⲱⲙⲁ	N	-
ϩⲁⲙⲁ	CONJ	-
ϩⲁⲙⲏⲛ	PTC	-
ϩⲁⲙⲕⲉⲗⲗⲉ	N	-
ϩⲁⲙⲕⲗⲗⲉ	N	-
ϩⲁⲡ	N	-
ϩⲁⲡⲉⲥⲏⲧ	ADV	-
ϩⲁⲡⲗⲟⲩⲥ	N	-
ϩⲁⲡⲗⲱⲥ	ADV	-
ϩⲁⲡⲥ	VBD	-
ϩⲁⲣϣϩⲏⲧ	N	-
ϩⲁⲣⲁⲧ	PREP	-
ϩⲁⲣⲉϣϩⲏⲧ	N	-
ϩⲁⲣⲉϩ	V	-
ϩⲁⲣⲓϩⲁⲣⲟ	PREP	-
ϩⲁⲣⲙⲁ	N	-
ϩⲁⲣⲙⲉⲛⲓⲟⲥ	N	-
ϩⲁⲣⲙⲏⲛⲓⲟⲥ	N	-
ϩⲁⲣⲟ	PREP	-
ϩⲁⲣⲡⲁⲍⲉ	V	-
ϩⲁⲣⲱ	PREP	-
ϩⲁⲥⲉ	N	-
ϩⲁⲥⲓⲉ	N	-
ϩⲁⲧ	N	-
ϩⲁⲧⲃⲉⲥ	N	-
ϩⲁⲧⲉ	PREP	-
ϩⲁⲧⲉ	V	-
ϩⲁⲧⲏ	PREP	-
ϩⲁⲧⲏⲣ	N	-
ϩⲁⲧⲙ	PREP	-
ϩⲁⲧⲛ	PREP	-
ϩⲁⲧⲟⲟⲧ	PREP	-
ϩⲃⲁ	N	-
ϩⲃⲏⲟⲩⲉ	N	-
ϩⲃⲏⲩⲉ	N	-
ϩⲃⲟⲩⲣ	N	-
ϩⲃⲥⲱ	N	-
ϩⲉ	N	-
ϩⲉ	V	-
ϩⲉϫϩⲱϫ	V	-
ϩⲉⲃⲇⲟⲙⲁⲥ	N	-
ϩⲉⲃⲣⲁⲓⲟⲥ	N	-
ϩⲉⲃⲥ	V	-
ϩⲉⲃⲥⲱ	N	-
