ϣⲏⲣⲡⲥϩⲁⲓ	ϣⲏⲣⲡ|ⲥϩⲁⲓ
ⲙⲛⲧⲛⲁϣⲧϩⲏⲧ	ⲙⲛⲧ|ⲛⲁϣⲧ|ϩⲏⲧ
ⲙⲛⲧⲛⲟⲉⲓⲕ	ⲙⲛⲧ|ⲛⲟⲉⲓⲕ
ⲙⲛⲧⲛⲟⲩⲧⲉ	ⲙⲛⲧ|ⲛⲟⲩⲧⲉ
ⲙⲛⲧⲡⲁⲣⲑⲉⲛⲟⲥ	ⲙⲛⲧ|ⲡⲁⲣⲑⲉⲛⲟⲥ
ⲙⲛⲧⲡⲣⲟⲇⲟⲧⲏⲥ	ⲙⲛⲧ|ⲡⲣⲟⲇⲟⲧⲏⲥ
ⲙⲛⲧⲣⲉϥϣⲙϣⲉ	ⲙⲛⲧ|ⲣⲉϥ|ϣⲙϣⲉ
ⲙⲛⲧⲣⲉϥϣⲙϣⲉⲛⲟⲩⲧⲉ	ⲙⲛⲧ|ⲣⲉϥ|ϣⲙϣⲉ|ⲛⲟⲩⲧⲉ
ⲙⲛⲧⲣⲉϥϩⲉⲧⲃⲯⲩⲭⲏ	ⲙⲛⲧ|ⲣⲉϥ|ϩⲉⲧⲃ|ⲯⲩⲭⲏ
ⲙⲛⲧⲣⲉϥϩⲓⲗⲁ	ⲙⲛⲧ|ⲣⲉϥ|ϩⲓⲗⲁ
ⲙⲛⲧⲣⲉϥϫⲓ	ⲙⲛⲧ|ⲣⲉϥ|ϫⲓ
ⲙⲛⲧⲣⲉϥϫⲓⲟⲩⲁ	ⲙⲛⲧ|ⲣⲉϥ|ϫⲓⲟⲩⲁ
ⲙⲛⲧⲣⲉϥϫⲱϩⲙ	ⲙⲛⲧ|ⲣⲉϥ|ϫⲱϩⲙ
ⲙⲛⲧⲣⲉϥϯϭⲱⲛⲧ	ⲙⲛⲧ|ⲣⲉϥ|ϯ|ϭⲱⲛⲧ
ⲙⲛⲧⲣⲉϥⲧⲱϩ	ⲙⲛⲧ|ⲣⲉϥ|ⲧⲱϩ
ⲙⲛⲧⲣⲙϩⲉ	ⲙⲛⲧ|ⲣⲙϩⲉ
ⲙⲛⲧⲣⲙⲙⲁⲟ	ⲙⲛⲧ|ⲣⲙⲙⲁⲟ
